game_id,universal_game_id,sport_id,league_id,sportsbook_id,start_date,team,opponent,game_description,is_live,moneyline,opp_moneyline,spread,opp_spread,spread_price,opp_spread_price,over_under,over_price,under_price,first_half_moneyline,opp_first_half_moneyline,first_half_spread,opp_first_half_spread,first_half_spread_price,opp_first_half_spread_price,first_half_total_points,first_half_over_price,first_half_under_price,moneyline_first_quarter,opp_moneyline_first_quarter,first_quarter_spread,opp_first_quarter_spread,first_quarter_spread_price,opp_first_quarter_spread_price,first_quarter_total_points,first_quarter_over,first_quarter_under,changed_date,check_in_date,vegas_implied_score,opp_vegas_implied_score,over_percent,opp_over_percent,date_captured,hour_captured,min_captured
169261,6228574,Football,NFL,Bovada,2020-11-20T01:20:00Z,Arizona Cardinals,Seattle Seahawks,Arizona Cardinals vs Seattle Seahawks,0,150,-170,3.0,-3.0,100,-120,57.5,-110,-110,120,-160,2.5,-2.5,-110,-110,28.0,-105,-115,120,-165,0.5,-0.5,-120,-110,,,,2020-11-17T16:47:27Z,2020-11-18T02:52:43Z,27.25,30.25,2.110091743119266,1.9008264462809918,2020-11-17,20,52
323674,2592156,Football,NFL,Bovada,2020-11-22T18:00:00Z,Pittsburgh Steelers,Jacksonville Jaguars,Pittsburgh Steelers vs Jacksonville Jaguars,0,-500,350,-10.0,10.0,-110,-110,47.5,-110,-110,-290,210,-5.5,5.5,-110,-110,23.5,-110,-110,-245,175,-3.0,3.0,-105,-125,,,,2020-11-17T22:12:01Z,2020-11-18T02:52:43Z,28.75,18.75,1.6521739130434783,2.533333333333333,2020-11-17,20,52
364172,5757121,Football,NFL,Bovada,2020-11-22T18:00:00Z,New England Patriots,Houston Texans,New England Patriots vs Houston Texans,0,-135,115,-2.0,2.0,-115,-105,48.0,-110,-110,-135,105,-0.5,0.5,-110,-110,23.5,-110,-110,-130,-105,-0.5,0.5,120,-160,,,,2020-11-18T00:15:21Z,2020-11-18T02:52:43Z,25.0,23.0,1.92,2.0869565217391304,2020-11-17,20,52
308569,4221244,Football,NFL,Bovada,2020-11-22T18:00:00Z,Atlanta Falcons,New Orleans Saints,Atlanta Falcons vs New Orleans Saints,0,190,-230,5.0,-5.0,-110,-110,51.0,-110,-110,150,-200,3.0,-3.0,-110,-110,24.5,-110,-110,145,-190,0.5,-0.5,-110,-120,,,,2020-11-18T01:24:21Z,2020-11-18T02:52:43Z,23.0,28.0,2.217391304347826,1.8214285714285714,2020-11-17,20,52
292077,1000848,Football,NFL,Bovada,2020-11-22T18:00:00Z,Philadelphia Eagles,Cleveland Browns,Philadelphia Eagles vs Cleveland Browns,0,160,-180,3.5,-3.5,-120,100,46.0,-110,-110,130,-170,2.5,-2.5,-110,-110,23.0,100,-120,125,-165,0.5,-0.5,-135,100,,,,2020-11-18T00:15:21Z,2020-11-18T02:52:43Z,21.25,24.75,2.164705882352941,1.8585858585858586,2020-11-17,20,52
274217,1782187,Football,NFL,Bovada,2020-11-22T21:05:00Z,New York Jets,Los Angeles Chargers,New York Jets vs Los Angeles Chargers,0,325,-450,9.0,-9.0,-120,100,47.0,-110,-110,225,-310,6.0,-6.0,-115,-105,23.5,-105,-115,195,-265,3.0,-3.0,-115,-115,,,,2020-11-18T01:52:17Z,2020-11-18T02:52:43Z,19.0,28.0,2.473684210526316,1.6785714285714286,2020-11-17,20,52
134766,2937001,Football,NFL,Bovada,2020-11-22T21:25:00Z,Green Bay Packers,Indianapolis Colts,Green Bay Packers vs Indianapolis Colts,0,120,-140,2.5,-2.5,-110,-110,51.0,-115,-105,115,-150,1.5,-1.5,-110,-110,24.5,-115,-105,100,-135,0.5,-0.5,-145,110,,,,2020-11-17T23:12:16Z,2020-11-18T02:52:43Z,24.25,26.75,2.1030927835051547,1.9065420560747663,2020-11-17,20,52
334712,3734344,Football,NFL,Bovada,2020-11-22T21:25:00Z,Dallas Cowboys,Minnesota Vikings,Dallas Cowboys vs Minnesota Vikings,0,280,-360,7.0,-7.0,-105,-115,48.0,-110,-110,200,-275,4.0,-4.0,-105,-115,23.5,-115,-105,180,-240,3.0,-3.0,-125,-110,,,,2020-11-18T02:00:31Z,2020-11-18T02:52:43Z,20.5,27.5,2.341463414634146,1.7454545454545454,2020-11-17,20,52
150821,2726163,Football,NFL,Bovada,2020-11-24T01:15:00Z,Los Angeles Rams,Tampa Bay Buccaneers,Los Angeles Rams vs Tampa Bay Buccaneers,0,160,-180,3.5,-3.5,-115,-105,47.5,-110,-110,130,-170,2.0,-2.0,-105,-115,23.0,-115,-105,135,-180,0.5,-0.5,-120,-110,,,,2020-11-17T16:39:06Z,2020-11-18T02:52:43Z,22.0,25.5,2.159090909090909,1.8627450980392157,2020-11-17,20,52
169261,6228574,Football,NFL,Bovada,2020-11-20T01:20:00Z,Seattle Seahawks,Arizona Cardinals,Arizona Cardinals vs Seattle Seahawks,0,-170,150,-3.0,3.0,-120,100,57.5,-110,-110,-160,120,-2.5,2.5,-110,-110,28.0,-105,-115,-165,120,-0.5,0.5,-110,-120,,,,2020-11-17T16:47:27Z,2020-11-18T02:52:43Z,30.25,27.25,1.9008264462809918,2.110091743119266,2020-11-17,20,52
323674,2592156,Football,NFL,Bovada,2020-11-22T18:00:00Z,Jacksonville Jaguars,Pittsburgh Steelers,Pittsburgh Steelers vs Jacksonville Jaguars,0,350,-500,10.0,-10.0,-110,-110,47.5,-110,-110,210,-290,5.5,-5.5,-110,-110,23.5,-110,-110,175,-245,3.0,-3.0,-125,-105,,,,2020-11-17T22:12:01Z,2020-11-18T02:52:43Z,18.75,28.75,2.533333333333333,1.6521739130434783,2020-11-17,20,52
364172,5757121,Football,NFL,Bovada,2020-11-22T18:00:00Z,Houston Texans,New England Patriots,New England Patriots vs Houston Texans,0,115,-135,2.0,-2.0,-105,-115,48.0,-110,-110,105,-135,0.5,-0.5,-110,-110,23.5,-110,-110,-105,-130,0.5,-0.5,-160,120,,,,2020-11-18T00:15:21Z,2020-11-18T02:52:43Z,23.0,25.0,2.0869565217391304,1.92,2020-11-17,20,52
308569,4221244,Football,NFL,Bovada,2020-11-22T18:00:00Z,New Orleans Saints,Atlanta Falcons,Atlanta Falcons vs New Orleans Saints,0,-230,190,-5.0,5.0,-110,-110,51.0,-110,-110,-200,150,-3.0,3.0,-110,-110,24.5,-110,-110,-190,145,-0.5,0.5,-120,-110,,,,2020-11-18T01:24:21Z,2020-11-18T02:52:43Z,28.0,23.0,1.8214285714285714,2.217391304347826,2020-11-17,20,52
292077,1000848,Football,NFL,Bovada,2020-11-22T18:00:00Z,Cleveland Browns,Philadelphia Eagles,Philadelphia Eagles vs Cleveland Browns,0,-180,160,-3.5,3.5,100,-120,46.0,-110,-110,-170,130,-2.5,2.5,-110,-110,23.0,100,-120,-165,125,-0.5,0.5,100,-135,,,,2020-11-18T00:15:21Z,2020-11-18T02:52:43Z,24.75,21.25,1.8585858585858586,2.164705882352941,2020-11-17,20,52
274217,1782187,Football,NFL,Bovada,2020-11-22T21:05:00Z,Los Angeles Chargers,New York Jets,New York Jets vs Los Angeles Chargers,0,-450,325,-9.0,9.0,100,-120,47.0,-110,-110,-310,225,-6.0,6.0,-105,-115,23.5,-105,-115,-265,195,-3.0,3.0,-115,-115,,,,2020-11-18T01:52:17Z,2020-11-18T02:52:43Z,28.0,19.0,1.6785714285714286,2.473684210526316,2020-11-17,20,52
134766,2937001,Football,NFL,Bovada,2020-11-22T21:25:00Z,Indianapolis Colts,Green Bay Packers,Green Bay Packers vs Indianapolis Colts,0,-140,120,-2.5,2.5,-110,-110,51.0,-115,-105,-150,115,-1.5,1.5,-110,-110,24.5,-115,-105,-135,100,-0.5,0.5,110,-145,,,,2020-11-17T23:12:16Z,2020-11-18T02:52:43Z,26.75,24.25,1.9065420560747663,2.1030927835051547,2020-11-17,20,52
334712,3734344,Football,NFL,Bovada,2020-11-22T21:25:00Z,Minnesota Vikings,Dallas Cowboys,Dallas Cowboys vs Minnesota Vikings,0,-360,280,-7.0,7.0,-115,-105,48.0,-110,-110,-275,200,-4.0,4.0,-115,-105,23.5,-115,-105,-240,180,-3.0,3.0,-110,-125,,,,2020-11-18T02:00:31Z,2020-11-18T02:52:43Z,27.5,20.5,1.7454545454545454,2.341463414634146,2020-11-17,20,52
150821,2726163,Football,NFL,Bovada,2020-11-24T01:15:00Z,Tampa Bay Buccaneers,Los Angeles Rams,Los Angeles Rams vs Tampa Bay Buccaneers,0,-180,160,-3.5,3.5,-105,-115,47.5,-110,-110,-170,130,-2.0,2.0,-115,-105,23.0,-115,-105,-180,135,-0.5,0.5,-110,-120,,,,2020-11-17T16:39:06Z,2020-11-18T02:52:43Z,25.5,22.0,1.8627450980392157,2.159090909090909,2020-11-17,20,52
